縣市,辦理單位,據點名稱,服務區域,連絡電話,地址
新北市,財團法人天主教善牧社會福利基金會-新北市東區跨國婚姻家庭服務中心,新北市新住民關懷服務站,汐止區,02-86476654,新北市汐止區茄苳路15號2樓
新北市,社團法人新北市汐止心汐止情慈善協會,新北市新住民關懷服務站,汐止區,02-26933166,新北市汐止區康寧街395號2樓
新北市,天寧寺慈舟功德會,新北市新住民關懷服務站,平溪區,02-24952732,新北市平溪區嶺腳里嶺腳寮111號
新北市,新北市三芝區福成社區發展協會,新北市新住民關懷服務站,三芝區,02-26362740,新北市三芝區中山路14號2樓
新北市,新北市八里新住民關懷協會,新北市新住民關懷服務站,八里區,02-26104269,新北市八里區華峰三街25號1樓
新北市,社團法人中宣社會福利發展協會,新北市新住民關懷服務站,淡水區,02-88095451,新北市淡水區民族路10號7樓
新北市,明志科技大學通識教育中心,新北市新住民關懷服務站,泰山區,02-29089899 #4224??,新北市泰山區貴子里工專路84號　
新北市,新北市五股區公所,新北市新住民關懷服務站,五股區,02-82956598,新北市五股區凌雲路一段32號
新北市,新北市石碇區公所,新北市新住民關懷服務站,石碇區,02-26631080#328,新北市石碇區潭邊里石崁25號
新北市,新北市雙溪區公所,新北市新住民關懷服務站,雙溪區,02-24934530,新北市雙溪區共和里東榮街25號
新北市,新北市貢寮區公所,新北市新住民關懷服務站,貢寮區,02-24941601＃215,新北市貢寮區朝陽街54號
新北市,社團法人新北市喜樂關懷協會,新北市新住民關懷服務站,深坑區,02-26623786,新北市深坑區埔新街61巷17號1樓
新北市,新北市石門區公所,新北市新住民關懷服務站,石門區,02-26381721#707,新北市石門區尖鹿里中山路66號
臺北市,社團法人中華救助總會,同心園-臺北市新住民社區服務據點,全市,02-23935943,臺北市中正區羅斯福路一段7號2樓
臺北市,中華民國基督教女青年會協會,臺北市西區新移民社區關懷據點,萬華區、中正區、大同區,02-23616577,臺北市中正區延平南路207號4樓
臺北市,財團法人台北市賽珍珠基金會,臺北市北區新移民社區關懷據點,士林區、北投區、中山區,02-25040399,臺北市士林區中山北路六段290巷7弄5號1樓
臺北市,財團法人天主教善牧社會福利基金會,臺北市南區新移民社區關懷據點,文山區、大安區、信義區,02-29312166,臺北市文山區羅斯福路五段211巷23號1樓
臺北市,中華民國基督教女青年會協會,臺北市東區新移民社區關懷據點,松山區、內湖區、南港區,02-26317059,臺北市南港區向陽路252號1樓
桃園市,桃園市新移民女性關懷協會,「優質寶貝」桃園市新住民社區關懷服務據點,桃園區,03-3316379,桃園市桃園區中華路91號3樓
桃園市,桃園市桃園區龍岡社區發展協會,「攏寶貝」桃園市新住民社區關懷服務據點,桃園區,03-2174895,桃園市桃園區國豐二街6號2樓
桃園市,桃園市桃園區大檜溪社區發展協會,「大檜溪」桃園市新住民社區關懷服務據點,桃園區,03-3464042,桃園市桃園區興一街65巷50號2樓
桃園市,桃園市中壢區立信社區發展協會,「蕙質蘭心」桃園市新住民社區關懷服務據點,中壢區,0932-266642,桃園市中壢區莊敬路873號
桃園市,桃園市越配權益促進會,「越幸福」桃園市新住民社區關懷服務據點,中壢區,"0989-129-638
0931-546-505",桃園市中壢區中央里中央東路144號
桃園市,桃園市蒲公英新移民服務協會,「蒲公英」桃園市新住民社區關懷服務據點,中壢區,03-4556020,桃園市中壢區成功路139號
桃園市,台灣新住民萌芽協會,「萌芽」桃園市新住民社區關懷服務據點,中壢區,03-4350929,桃園市中壢區自立里自立五街5號1樓
桃園市,桃園市龍潭區大中正社區發展協會,「幸福娘家」桃園市新住民社區關懷服務據點,龍潭區,03-4709583,桃園市龍潭區中正路204號
桃園市,桃園縣楊梅鎮愛心慈善協會,「楊梅區」桃園市新住民社區關懷服務據點,楊梅區,0963-313896,桃園市楊梅區楊新路154號
桃園市,桃園市美麗人生發展協會,「美麗佳人」桃園市新住民社區關懷服務據點,平鎮區,03-4387668,桃園市平鎮區龍興里龍德路87號
桃園市,社團法人桃園市基督教女青年會,「安平麒麟」桃園市新住民社區關懷服務據點,平鎮區,03-4025479,桃園市平鎮區延平路二段430巷80號
桃園市,桃園市新住民服務協會,「一家人」桃園市新住民社區關懷服務據點,平鎮區,0976-875489,桃園市平鎮區新榮路259號2樓
桃園市,桃園市新住民文化交流協會,「立新」桃園市新住民社區關懷服務據點,平鎮區,"03-4668929
0976-841931",桃園市平鎮區龍江路140號
桃園市,桃園市八德區瑞發社區發展協會,「楓樹腳」桃園市新住民社區關懷服務據點,八德區,03-3688808,桃園市八德區介壽路二段946巷2號
桃園市,社團法人桃園市愛筵社會服務協會,「新原地」桃園市新住民社區關懷服務據點,復興區,"03-3821269
0919-080-861",桃園市復興區澤仁里忠孝路56號
桃園市,桃園市龜山區大華社區發展協會,「大華」桃園市新住民社區關懷服務據點,龜山區,03-3182389,桃園市龜山區大華里文化七路118巷7號
桃園市,桃園市新屋區石磊社區發展協會,「活力石磊」桃園市新住民社區關懷服務據點,新屋區,03-4771835,桃園市新屋區三民路二段276號
桃園市,桃園市觀音區樹林社區發展協會,「樹林社區」桃園市新住民社區關懷服務據點,觀音區,03-4834817,桃園市觀音區樹林里泰安街209號
桃園市,桃園市蘆竹區吉祥社區發展協會,「吉祥福居」桃園市新住民社區關懷服務據點,蘆竹區,0939-264626,桃園市蘆竹區吉林路160號(南崁國小1年10班)
桃園市,桃園縣社區大學協會,「溪光」桃園市新住民社區關懷服務據點,大溪區,03-3801672,桃園市大溪區介壽路211巷54弄67號
桃園市,桃園市多元族群文化交流暨愛心協會,「多元愛心」桃園市新住民社區關懷服務據點,大園區,03-33855766,桃園市大園區中山南路361-1號
臺中市,社團法人台灣新移民協會,臺中市中區新住民社區服務據點,中區,04-22290321,臺中市中區繼光街87號
臺中市,社團法人臺灣陽光婦女協會,臺中市東、南區新住民社區服務據點,東、南區,04-22850168,臺中市南區合作街156號
臺中市,社團法人臺中市復興產業協會,臺中市南區新住民社區服務據點,南區,04-22651499,臺中市南區復興路二段158號
臺中市,社團法人中華民國優質家庭教育發展促進會,臺中市大雅區新住民社區服務據點,大雅區,04-25684838,臺中市大雅區學府路25號
臺中市,臺中市王海雲慈善發展協會,臺中市大雅區新住民社區服務據點,大雅區,0911-869983,臺中市大雅區中清東路 33號
臺中市,社團法人臺中市娘家關懷協會,臺中市潭子區新住民社區服務據點,潭子區,04-25390506,臺中市潭子區合作街32號
臺中市,社團法人台中市親子閱讀協會,臺中市豐原區新住民社區服務據點,豐原區,04-25271292,臺中市豐原區南陽路120號
臺中市,社團法人臺中市春天女性成長協會,臺中市東勢區新住民社區服務據點,東勢區,04-25875041,臺中市東勢區本街4鄰191號
臺中市,社團法人台中市艾馨婦女協進會,臺中市大肚區新住民社區服務據點,大肚區,04-26995520,臺中市大肚區育樂街17巷30號
臺中市,社團法人臺中市忘憂草協會,臺中市沙鹿區新住民社區服務據點,沙鹿區,04-26363008,臺中市沙鹿區斗抵里天仁一街30號
臺中市,社團法人臺中市喜樂文化推廣協會,臺中市太平區新住民社區服務據點,太平區,04-23937442,臺中市太平區大興路292號
臺中市,臺中市正緣文教慈善會,臺中市太平區新住民社區服務據點,太平區,0920-614725,臺中市太平區東和里東村路226號
臺中市,社團法人台灣基督教好牧人全人關顧協會,臺中市大里區新住民社區服務據點,大里區,04-24850890#4,臺中市大里區中興路二段323號2樓
臺中市,社團法人臺中市霧峰區婦幼保護協會,臺中市霧峰區新住民社區服務據點,霧峰區,04-23310995,臺中市霧峰區光明路113號
臺中市,財團法人熱愛生命文教基金會,臺中市西屯區新住民社區服務據點,西屯區,04-27080908,臺中市西屯區朝馬五街21號
臺中市,網絡資訊推展協會,臺中市北區新住民社區服務據點,北區,0989-000205,臺中市北區漢口路四段102號
臺中市,臺灣新住民展能服務協會,臺中市西區新住民社區服務據點,西區,04-22290321,臺中市南區復興路二段158號
臺中市,臺中市南屯區新移民女性家庭關懷協會,臺中市南屯區新住民社區服務據點,南屯區,0931-827844,臺中市南屯區新民巷1-7號
臺中市,臺中縣健康樂活關懷協會,臺中市北屯區新住民社區服務據點,北屯區,0937-722805,臺中市北屯區瀋陽路二段41號2樓之1
臺中市,社團法人臺中市珍愛加恩關懷協會,臺中市北屯區新住民社區服務據點,北屯區,04-24228947,臺中市北屯區仁美里豐樂路17-1號
臺中市,臺中市慈心國際新住民交流協會,臺中市新社區新住民社區服務據點,新社區,0968-177623,臺中市新社區東山街52號
臺中市,臺中市清水區東山社區發展協會,臺中市清水區新住民社區服務據點,清水區,0975-196111,臺中市清水區神清路12號
臺中市,悠活長春全齡關懷照護協會,臺中市外埔區新住民社區服務據點,外埔區,04-26832123,臺中市大安區龜殼里龜殼路175號
臺中市,兩岸四川經濟文化交流協會,臺中市烏日區新住民社區服務據點,烏日區,04-24521916,臺中市烏日區光明里五光路復光四巷89號
臺中市,臺中市大肚山新住民關懷協會,臺中市龍井區新住民社區服務據點,龍井區,04-26333311,臺中市龍井區中沙路南寮巷21弄8之1號
臺中市,社團法人臺灣陸配關懷聯誼促進會,臺中市東區新住民社區服務據點,東區,04-22830158,臺中市東區東門路109巷5號
臺中市,臺中市大甲區新移民女性家庭關懷協會,臺中市大甲區新住民社區服務據點,大甲區,0933-549652,臺中市大甲區賢仁路91號
臺中市,社團法人臺中市助扶關懷協會,臺中市后里區新住民社區服務據點,后里區,04-25560571,臺中市后里區公安路271-2號
臺南市,社團法人世界和平會,臺南市大新營區新住民社區服務據點,新營區、柳營區、鹽水區,06-6354330,臺南市新營區新進路二段161號
臺南市,臺南市後壁區嘉田社區發展協會,臺南市後壁區新住民社區服務據點,後壁區,06-6881826,臺南市後壁區嘉田里46-28號
臺南市,社團法人臺南市新住民家庭促進成長發展協會,傳承新希望新住民社區服務據點,仁德區、歸仁區、關廟區,06-2797963,臺南市仁德區仁德里仁德四街12巷15弄2號
臺南市,臺南市玉井區玉田社區發展協會,「愛無國界、多元風情」新住民社區服務據點,玉井區、左鎮區、楠西區、南化區,06-5747041、0932-387483,臺南市玉井區民權路134號3樓
臺南市,臺南市蓮香養生協會,臺南市白河區新住民社區服務據點,白河區,06-6853696,臺南市白河區中正路124巷34號
臺南市,社團法人臺南市新住民關懷服務協會,臺南市府城新住民社區服務據點,南區、安平區、中西區,06-2656868,臺南市南區中華西路一段332號2樓
臺南市,社團法人台灣普力關懷協會,臺南市佳里區、七股區、北門區、西港區新住民社區服務據點,佳里區、七股區、北門區、西港區,06-7210123,臺南市佳里區佳北路399號
臺南市,臺南市神州新住民文化交流協會,臺南市東區新住民社區服務據點,東區,0931-700899,臺南市東區育樂街158巷2號
臺南市,社團法人臺南市新向陽協會,「陽光相隨-世界更美」社區服務據點,東山區,0972-787323,臺南市東山區聖賢里北勢寮73-6號
高雄市,社團法人台灣國際家庭互助協會,高雄市鳳山區新住民社區服務據點,鳳山區,07-7670662,高雄市鳳山區青年路二段518巷5號2樓
高雄市,財團法人台灣兒童暨家庭扶助基金會高雄市南區分事務所,高雄市旗津區新住民社區服務據點,旗津區,07-5716101,高雄市旗津區發祥街58號
高雄市,社團法人台灣信徹蓮池功德會,高雄市前鎮區新住民社區服務據點,前鎮區,07-7172170,高雄市前鎮區保泰路177號
高雄市,社團法人台灣國際海員漁民權益保護協會,高雄市前鎮區新住民社區服務據點,前鎮區,07-8227296,高雄市前鎮區漁港中一路2號1樓5室
高雄市,高雄市外籍(南洋)姊妹關懷協會,高雄市前鎮區新住民社區服務據點,前鎮區,07-2231017,高雄市前鎮區和隆街15號
高雄市,社團法人高雄市小鄉社造志業聯盟,高雄市美濃區新住民社區服務據點,美濃區,"07-6691137、
0965-808901",高雄市美濃區福安街12號
高雄市,社團法人高雄市佳音社區營造協會,高雄市內門區新住民社區服務據點,內門區,07-6681139,高雄市內門區木柵里木柵44 號
高雄市,社團法人高雄市基督教女青年會,高雄市苓雅區新住民服務據點,苓雅區,07-2720015,高雄市苓雅區五福三路101號9樓
高雄市,社團法人高雄市仁武慈暉志願協會,高雄市仁武區新住民社區服務據點,仁武區,07-3759727,高雄市仁武區文武里仁林路5號
高雄市,社團法人高雄市綠繡眼發展協會,高雄市岡山區新住民社區服務據點,岡山區及鄰近地區,07-6224415,高雄市岡山區柳橋東路36 號
高雄市,社團法人高雄市林園魔法屋愛鄉協會,高雄市林園區新住民社區服務據點,林園區,07-6464183,高雄市林園區林園北路191 號3樓
高雄市,社團法人高雄市劦助慈善會,高雄市梓官區新住民社區服務據點,梓官區,07-6106693,高雄市梓官區通港路23號2樓
高雄市,高雄市湖內區公?社區發展協會,高雄市湖內區新住民家庭社區服務據點,湖內區,07-6990198,高雄市湖內區中正路一段53巷1號
高雄市,社團法人台灣凝愛關懷弱勢協會,高雄市旗山區新住民服務據點,旗山區,07-6621327,高雄市旗山區延平一路438號
高雄市,社團法人高雄市大寮區愛家園協會,高雄市大寮區新住民社區服務據點,大寮區,07-7861838,高雄市大寮區忠義里商協福利路59-1號
高雄市,社團法人高雄市甲仙愛鄉協會,高雄市甲仙區新住民社區服務據點,甲仙區,07-6754099,高雄市甲仙區忠孝路2號
高雄市,高雄市六龜區新開部落災後重建協會,高雄市六龜區新住民社區服務據點,六龜區,07-6791550,高雄市六龜區新發里和平路302-2號
高雄市,社團法人中華民國牧愛生命協會,高雄市鼓山區新住民社區服務據點,鼓山區,07-5218931,高雄市鼓山區濱海二路23-2號
高雄市,社團法人高雄市生命樹國際關懷協會,高雄市楠梓區新住民社區服務據點,楠梓區,07-3647777,高雄市楠梓區益群路77號B1
高雄市,財團法人高雄市林柔蘭社會福利基金會,高雄市楠梓區新住民社區服務據點,楠梓區,07-3616674,高雄市楠梓區壽豐路433巷2弄20號
高雄市,愛加倍全人社區關懷協會,高雄市左營區新住民社區服務據點,左營區,07-5821578,高雄市左營區果峰街10巷7號1樓
高雄市,社團法人高雄市新住民互助發展協會,高雄市小港區新住民社區服務據點,小港區,07-8016129,高雄市小港區永義街177號1樓
高雄市,財團法人高雄市基督教會錫安堂,高雄市三民區新住民社區服務據點,三民區,07-3155571,高雄市三民區九如二路366號5樓
高雄市,社團法人高雄市晨暉關懷協會,高雄市彌陀區新住民社區服務據點,彌陀區,07-6101009,高雄市彌陀區海尾路70號
高雄市,社團法人高雄市晨暉關懷協會,高雄市永安區新住民社區服務據點,永安區,07-6295591,高雄市永安區永華路49號
高雄市,高雄市大樹區統嶺社區發展協會,高雄市大樹區新住民社區服務據點,大樹區,07-6563301,高雄市大樹區統嶺路91-9號2樓
宜蘭縣,財團法人天主教善牧社會福利基金會,宜蘭縣宜蘭市新住民社區服務據點,宜蘭市,03-9364338,宜蘭縣宜蘭市聖後街164號
宜蘭縣,財團法人天主教善牧社會福利基金會,宜蘭縣員山鄉新住民社區服務據點,員山鄉,03-9511027,宜蘭縣員山鄉復興路4號
宜蘭縣,社團法人宜蘭縣宜萱婦幼關懷協會,宜蘭縣新住民社區服務據點,羅東鄉,03-9511027,宜蘭縣羅東鎮清潭路146號2樓
宜蘭縣,宜蘭縣福氣生活照顧關懷協會,宜蘭縣新住民社區服務據點,蘇澳鎮(新城、馬賽地區),0939-789928,宜蘭縣蘇澳鎮新城里慶安路13-2號
宜蘭縣,宜蘭縣新住民關懷協會,宜蘭縣蘇澳鎮新住民社區服務據點,蘇澳鎮,0939-807057,宜蘭縣蘇澳鎮蘇北里內埤路43號
新竹縣,新竹縣峨眉鄉月眉觀光休閒產業文化協會,新竹縣峨眉鄉新住民社區服務據點,峨眉鄉,03-5809115,新竹縣峨眉鄉峨眉村2鄰1-2號
新竹縣,新竹縣寶山鄉新住民關懷協會,新竹縣寶山鄉新住民社區服務據點,寶山鄉,03-5762295,新竹縣寶山鄉新城村寶新路二段251巷25號
新竹縣,新竹縣新埔鎮內立社區發展協會,新竹縣新埔鎮新住民社區服務據點,新埔鎮,03-5885030,新竹縣新埔鎮關埔路內立段203巷40號
新竹縣,新竹縣知心會,新竹縣湖口鄉新住民社區服務據點,湖口鄉,0937-992913,新竹縣湖口鄉民族街227號
新竹縣,財團法人鹿江教育基金會,新竹縣鹿江新住民社區服務據點,關西鎮,03-5171276,新竹縣關西鎮中山東路103號
新竹縣,社團法人台灣築心全人生命教育關懷協會,新竹縣竹東鎮新住民社區服務據點,竹東鎮,03-5835580,新竹縣竹東鎮竹中路36-1號
新竹縣,新竹縣芎林鄉地方建設發展協會,新竹縣芎林鄉地方建設發展協會新住民社區服務據點,芎林鄉,0955-693703,新竹縣芎林鄉文林村文山路143號
新竹縣,新竹縣新豐鄉松柏社區發展協會,新竹縣新豐鄉新住民社區服務據點,新豐鄉,03-5598758,新竹縣新豐鄉松柏村康樂路一段183巷1號
苗栗縣,苗栗縣大湖鄉靜湖社區發展協會,苗栗縣大湖鄉新住民社區服務據點,大湖鄉,0935-318631,苗栗縣大湖鄉中正路72號2樓
苗栗縣,苗栗縣竹南鎮佳興社區發展協會,苗栗縣竹南鎮新住民社區服務據點,竹南鎮,0933-973796,苗栗縣竹南鎮佳興里6鄰光復路452號2樓
苗栗縣,苗栗縣向揚推展關懷協會,苗栗縣三義鄉新住民社區服務據點,三義鄉,0921-040775,苗栗縣三義鄉勝興村29鄰水美315之56號
苗栗縣,苗栗縣長青學習終身發展協會,苗栗縣公館鄉新住民社區服務據點,公館鄉,0985-312633,苗栗縣公館鄉館中村8鄰宮前路1號
彰化縣,社團法人彰化縣新移民協會,彰化縣永靖區新住民社區服務據點,彰化市、和美鎮、線西鄉、花壇鄉、員林市、田中鎮、埔心鄉、永靖鄉、社頭鄉,04-8235451,彰化縣永靖鄉東興路75號
彰化縣,財團法人伊甸社會福利基金會,彰化縣溪湖區新住民社區服務據點,埔鹽鄉、溪湖鎮、埤頭鄉、北斗鎮、溪州鄉、田中鎮、二水鄉,04-8746380,彰化縣田中鎮斗中路一段222號3樓
彰化縣,社團法人彰化縣生命線協會,彰化縣彰化區新住民社區服務據點,彰化市、花壇鄉、芬園鄉、和美鎮、線西鄉、伸港鄉、秀水鄉,04-7237885,彰化縣彰化市南郭路一段60號4樓
彰化縣,社團法人彰化縣志願服務協會,彰化縣員林區新住民社區服務據點,大村鄉、員林市、永靖鄉、社頭鄉、田尾鄉、埔心鄉,04-8380699,彰化縣員林市大同路二段126號
彰化縣,彰化縣基督教青年會,彰化縣芳苑區新住民社區服務據點,鹿港鎮、福興鄉、芳苑鄉、二林鎮、竹塘鄉、大城鄉,04-7225625,彰化縣彰化市民族路267號3樓
南投縣,社團法人南投縣家長關懷教育協會,南投縣南投市新住民社區服務據點,南投市、中寮鄉、集集鎮,049-2236728,南投縣南投市三民里藍田街89號
南投縣,社團法人南投縣新媳婦關懷協會,南投縣名間鄉新住民社區服務據點,名間鄉,049-2245265,南投縣名間鄉中正村小崎巷10號2樓
南投縣,社團法人南投縣社會福利工作協會,南投縣竹山區新住民社區服務據點,竹山鎮,049-2656538,南投縣竹山鎮大明路223號
南投縣,南投縣樂活婦女關懷協會,南投縣埔里鎮新住民社區服務據點,埔里鎮,049-2995428,南投縣埔里鎮枇杷里東興一街79號
南投縣,社團法人南投縣新媳婦關懷協會,南投縣草屯鎮新住民社區服務據點,草屯鎮,049-2245265,南投縣草屯鎮敦和里信義街320號
雲林縣,社團法人雲林縣兒童福利發展協會,雲林縣整合性新住民社區服務據點-山線據點,斗六市、斗南鎮、古坑鄉、林內鄉、莿桐鄉、大埤鄉,05-5223040、05-5970523,雲林縣斗南鎮五福二街21號
雲林縣,財團法人愛網全人關懷社會福利慈善事業基金會,雲林縣整合性新住民社區服務據點-平原據點,虎尾鎮、西螺鎮、二崙鎮、崙背鄉、褒忠鄉、土庫鎮、元長鄉,05-6322532,雲林縣虎尾鎮永興北二街150、152號1樓
雲林縣,雲林縣鄉土人文關懷協會,雲林縣整合性新住民社區服務據點-海線據點,北港鎮、水林鄉、口湖鄉、東勢鄉、四湖鄉、台西鄉、麥寮鄉,05-6980577,雲林縣東勢鄉月眉村月眉路1-17號
嘉義縣,社團法人嘉義縣扶緣服務協會,嘉義縣新港鄉新住民社區服務據點,新港鄉及周邊鄉鎮,05-3747552,嘉義縣新港鄉公園路28-1號4樓
嘉義縣,社團法人台灣愛延續協會,「有你相隨-社會更美」嘉義縣社區服務據點,太保市,0937-560860,嘉義縣太保市北新里北興路4號之1
嘉義縣,社團法人嘉義縣新住民婦幼關懷協會,關懷之家-嘉義縣山區(大林)新住民社區服務據點,大林鎮,0902-226878、0902-196878,嘉義縣大林鎮中林里163號
嘉義縣,社團法人嘉義縣晶聖發展協會,嘉義縣竹崎鄉新住民社區服務據點,竹崎鄉,05-2616127,嘉義縣竹崎鄉鹿滿村鹿鳴路89號
嘉義縣,嘉義縣西羅亞全人關懷協會,嘉義縣番路鄉新住民社區服務據點,番路鄉,0928-051995,嘉義縣番路鄉新福村五虎寮3-1號
嘉義縣,社團法人嘉義縣聽語多重障礙福利協進會,嘉義縣六腳鄉新住民社區服務據點,六腳鄉,05-3703222,嘉義縣六腳鄉古林村104號
嘉義縣,嘉義縣新住民茶藝協會,同新協力新住民社區服務據點,中埔鄉,0984-326590,嘉義縣中埔鄉隆興村十字路11-23號
嘉義縣,嘉義縣福池關懷協會,嘉義縣民雄鄉新住民社區服務據點,民雄鄉,05-2202257,嘉義縣民雄鄉福樂村埤角72號
屏東縣,社團法人屏東縣花木蘭文化產業發展協會,屏東縣麟洛鄉新住民社區服務據點,麟洛鄉、長治鄉(潭頭村、長興村、香楊村)、竹田鄉(西勢村、豐田村),08-7217699,屏東縣麟洛鄉麟趾村1鄰中山路675號A棟
屏東縣,屏東縣佳冬鄉溫馨家園促進會,屏東縣佳冬鄉新住民社區服務據點,佳冬鄉,08-8660261,屏東縣佳冬鄉石光村民有街25號
屏東縣,屏東縣枋山鄉新住民關懷協會,屏東縣枋山鄉新住民社區服務據點,枋山鄉,08-8761306,屏東縣枋山鄉枋山村枋山路7巷6號
臺東縣,臺東縣多元移民關懷協會,臺東縣卑南鄉新住民社區服務據點,卑南鄉,089-385073,臺東縣卑南鄉和平路130號
臺東縣,臺東縣新住民友誼聯盟協會,臺東縣太麻里鄉新住民社區服務據點,太麻里鄉,0913-400009,臺東縣太麻里鄉泰和村民權路70號1樓
臺東縣,社團法人臺東縣後山福利協會,臺東縣臺東市新住民社區服務據點,臺東市,0905-104039,臺東縣臺東市新興路1巷61弄26號
臺東縣,財團法人伊甸社會福利基金會,臺東縣成功鎮新住民社區服務據點,成功鎮,089-850010分機11,臺東縣成功鎮中正路100號5樓
花蓮縣,花蓮縣培力生活發展協會,花蓮縣花蓮市新住民社區服務據點,花蓮市,03-8221985、0932-103030,花蓮縣花蓮市化道路5-8號
花蓮縣,社團法人花蓮縣博愛全人發展協會,花蓮縣吉安鄉新住民社區服務據點,吉安鄉,03-8526576,花蓮縣吉安鄉仁里五街1號
花蓮縣,社團法人台灣國際家庭互助協會,花蓮縣吉安鄉村新住民社區服務據點,吉安鄉,03-8533830,花蓮縣吉安鄉吉安村吉昌三街268-23號
花蓮縣,社團法人花蓮縣牛犁社區交流協會,花蓮縣壽豐鄉新住民服務據點,壽豐鄉,03-8650243,花蓮縣壽豐鄉豐裡村民族街23號、豐山村豐山街43號
花蓮縣,花蓮縣牛根草社區發展促進會,花蓮縣鳳林鎮新住民服務據點,鳳林鄉,03-8762101,花蓮縣鳳林鎮公正街3號
花蓮縣,社團法人中華民國合家歡協會,花蓮縣玉里鎮新住民社區服務據點,玉里鎮,03-8883488,花蓮縣玉里鎮五權街7號
花蓮縣,台灣多元跨界行動協會,花蓮縣光復鄉新住民社區服務據點,光復鄉,03-8706588、0928-513576,花蓮縣光復鄉大同村林森路8號
花蓮縣,財團法人天主教會花蓮教區富里天主堂,花蓮縣富里鄉新住民社區服務據點,富里鄉,03-8832311,花蓮縣富里鄉富里村中山路31號
澎湖縣,澎湖縣東南亞婦女關懷協會,澎湖縣馬公市新住民整合型社區服務據點,馬公市,0978-948171,澎湖縣馬公市光復路302號(西衛社區活動中心)
